codigo_estacao;data;hora;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_direcao;vento_vel; vento_rajada;radiacao;precipitacao
A866;27/01/17;23;23.3;23.3;23.0;66;67;64;16.6;16.8;15.9;1013.8;1013.8;1013.4;0.0;236;0.0;1.169;0.0
A866;27/01/17;22;23.1;23.4;23.0;64;67;63;16.0;16.7;15.7;1013.4;1013.4;1012.9;0.0;236;0.0;109.5;0.0
A866;27/01/17;21;23.3;24.3;23.3;65;65;59;16.3;16.7;15.5;1012.9;1012.9;1012.4;0.0;236;0.0;450.6;0.0
A866;27/01/17;20;24.2;25.0;23.8;60;64;58;15.9;17.2;15.2;1012.4;1012.4;1012.1;0.0;236;0.0;1618.;0.0
A866;27/01/17;19;24.4;24.8;23.8;62;65;59;16.7;17.6;16.1;1012.2;1012.4;1012.0;0.0;236;0.0;2594.;0.0
A866;27/01/17;18;24.8;25.3;24.6;61;62;57;16.8;17.0;16.0;1012.2;1012.7;1012.2;0.0;236;0.0;3644.;0.0
A866;27/01/17;17;24.8;25.2;24.2;60;62;57;16.5;17.0;15.7;1012.7;1013.0;1012.7;0.0;236;0.0;3867.;0.0
A866;27/01/17;16;24.9;25.0;23.7;59;63;57;16.4;16.7;15.4;1012.9;1013.1;1012.9;0.0;236;0.0;3929.;0.0
A866;27/01/17;15;24.1;24.4;23.4;61;64;59;16.2;17.1;15.6;1013.0;1013.1;1012.9;0.0;236;0.0;3699.;0.0
A866;27/01/17;14;23.6;24.2;23.0;63;70;62;16.1;17.9;16.1;1013.0;1013.0;1012.9;0.0;236;0.0;3241.;0.0
A866;27/01/17;13;23.6;23.7;22.4;67;70;67;17.2;17.5;16.1;1013.0;1013.0;1012.4;0.0;236;0.0;2813.;0.0
A866;27/01/17;12;22.7;22.8;21.1;69;72;68;16.7;17.0;15.5;1012.4;1012.4;1011.8;0.0;236;0.0;1953.;0.0
A866;27/01/17;11;21.3;21.3;19.7;70;78;70;15.7;16.1;15.2;1011.8;1011.8;1011.2;0.0;236;0.0;603.2;0.0
A866;27/01/17;10;20.0;20.2;19.4;78;80;78;16.0;16.6;15.9;1011.2;1011.2;1010.8;0.0;236;0.0;223.8;0.0
A866;27/01/17;9;19.4;19.4;19.2;80;83;80;15.9;16.4;15.9;1010.8;1010.8;1010.2;0.0;236;0.0;3.826;0.0
A866;27/01/17;8;19.3;19.7;19.3;83;84;83;16.3;16.9;16.3;1010.2;1010.3;1010.1;0.0;236;0.0;-0.89;0.0
A866;27/01/17;7;19.4;19.5;18.8;84;88;84;16.6;17.1;16.5;1010.2;1010.2;1010.0;0.0;236;0.0;-1.47;0.0
A866;27/01/17;6;18.8;21.0;18.8;87;88;76;16.6;17.6;16.6;1010.2;1010.6;1010.2;0.0;236;0.0;-0.74;0.0
A866;27/01/17;5;21.0;21.3;20.6;76;81;74;16.7;17.6;16.1;1010.5;1010.7;1010.4;0.0;236;0.0;3.272;0.0
A866;27/01/17;4;20.8;20.8;19.6;81;84;79;17.4;17.6;16.3;1010.7;1011.0;1010.7;0.0;236;0.0;5.120;0.2
A866;27/01/17;3;20.0;20.6;19.8;82;87;82;16.9;18.4;16.7;1010.9;1011.2;1010.8;0.0;236;0.0;2.642;0.4
A866;27/01/17;2;20.5;20.5;19.5;87;88;86;18.3;18.3;17.1;1010.9;1011.4;1010.9;0.0;236;0.0;-1.70;2.4
A866;27/01/17;1;20.0;20.3;19.7;86;89;86;17.6;18.4;17.3;1011.1;1011.1;1010.5;0.0;236;0.0;-1.31;4.6
A866;27/01/17;0;19.7;20.9;19.6;88;88;84;17.7;18.5;17.4;1010.5;1010.5;1010.1;0.0;236;0.0;-1.56;4.0
