c0S/m	depSM	flag	lat	lon	name	potemp090C	pr	sal00	sigma-t00	t090	timeJ	Season	zona
2.91596	2.851	0.0	-28.513133000000003	-48.808737	st4	28.2137	2.87	16.8019	8.7068	28.2143	25.603854	verao	Rio Tubarão
2.93504	2.965	0.0	-28.513133000000003	-48.808737	st4	28.2157	2.985	16.9219	8.7957	28.2164	25.603935	verao	Rio Tubarão
2.95215	2.985	0.0	-28.513133000000003	-48.808737	st4	28.2147	3.005	17.0307	8.8771	28.2154	25.604016	verao	Rio Tubarão
2.95541	3.037	0.0	-28.513133000000003	-48.808737	st4	28.2165	3.057	17.0507	8.8914	28.2172	25.604097	verao	Rio Tubarão
2.95436	3.054	0.0	-28.513133000000003	-48.808737	st4	28.216	3.075	17.0442	8.8868	28.2167	25.604178	verao	Rio Tubarão
2.93334	2.84	0.0	-28.513133000000003	-48.808737	st4	28.2156	2.859	16.9112	8.7878	28.2162	25.604259	verao	Rio Tubarão
2.87636	2.395	0.0	-28.513133000000003	-48.808737	st4	28.2003	2.411	16.5562	8.5278	28.2008	25.60434	verao	Rio Tubarão
2.85797	2.406	0.0	-28.513133000000003	-48.808737	st4	28.2028	2.422	16.4392	8.4398	28.2033	25.604421	verao	Rio Tubarão
2.85648	2.94	0.0	-28.513133000000003	-48.808737	st4	28.214	2.96	16.4258	8.4263	28.2147	25.604502	verao	Rio Tubarão
2.86074	2.222	0.0	-28.513133000000003	-48.808737	st4	28.1934	2.237	16.4599	8.4581	28.1939	25.604583	verao	Rio Tubarão
1.54791	0.46	0.0	-28.513133000000003	-48.808737	st4	27.3449	0.463	8.5772	2.8343	27.345	25.604664	verao	Rio Tubarão
0.54457	0.41	0.0	-28.506856	-48.797201	st5	27.4699	0.413	2.7848	-1.5263	27.47	25.607095	verao	Rio Tubarão
0.51694	0.044	0.0	-28.506856	-48.797201	st5	27.3135	0.044	2.6432	-1.5881	27.3135	25.607176	verao	Rio Tubarão
0.5195	0.068	0.0	-28.506856	-48.797201	st5	27.3209	0.068	2.6567	-1.5801	27.3209	25.607257	verao	Rio Tubarão
0.52333	0.016	0.0	-28.506856	-48.797201	st5	27.329	0.016	2.6771	-1.5671	27.329	25.607338	verao	Rio Tubarão
0.55029	0.187	0.0	-28.506856	-48.797201	st5	27.3472	0.188	2.8232	-1.4629	27.3472	25.607419	verao	Rio Tubarão
1.18165	1.043	0.0	-28.506856	-48.797201	st5	28.0495	1.05	6.3121	0.9403	28.0497	25.6075	verao	Rio Tubarão
3.83673	1.679	0.0	-28.506856	-48.797201	st5	27.9751	1.69	22.8545	13.2984	27.9755	25.607581	verao	Rio Tubarão
5.01016	2.592	0.0	-28.506856	-48.797201	st5	26.1556	2.609	31.986	20.7131	26.1562	25.607662	verao	Rio Tubarão
5.14831	3.081	0.0	-28.506856	-48.797201	st5	25.7132	3.102	33.2967	21.8371	25.7139	25.607743	verao	Rio Tubarão
