# amostra,estacao,CC,saida
21,9,10.360548,1
22,7,4.70934,1
23,8,1.04652,1
24,4,7.79323404255,1
25,6,6.52062461538,1
26,2,8.63379,1
27,3,11.1311672727,1
28,20,9.41868,1
29,15,8.19015652174,1
30,14,11.302416,1
31,17,18.1128461538,1
32,5,0.0,1
33,19,6.52062461538,1
34,18,47.0934,1
35,12,9.41868,1
36,10,-3.767472,1
37,11,15.4123854545,1
